,short_name,version,message,opendap_url
0,MODIS_CR_Equal_Angle_Daily,1.0,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/CloudRegimes/MODIS_CR_Equal_Angle_Daily.1.0//MODIS_CR.EqualAngle_daily.C61.V1.0.L3.2003.nc4
1,MODIS_CR_Equal_Area_3h,1.0,"unable to decode time units 'days since 2000-03-01 00:00:00' with ""calendar 'none'"". Try opening your dataset with decode_times=False or installing cftime if it is not installed.",https://measures.gesdisc.eosdis.nasa.gov/opendap/CloudRegimes/MODIS_CR_Equal_Area_3h.1.0//MODIS_CR.EqualArea_3h.C61.V1.0.L3.2003.nc4
2,ACOSMonthlyGriddedXCO2,3,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/CO2/ACOSMonthlyGriddedXCO2.3/2014/ACOSMonthlyGriddedXCO2_2014_09_v3_1642606018.nc
3,MSULTT,001,[Errno -90] NetCDF: file not found: b'https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSULTT.001/1979/L93ch23.7994daygrd_temp_msu.nat.Z',https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSULTT.001/1979/L93ch23.7994daygrd_temp_msu.nat.Z
4,MSUUTT,001,[Errno -90] NetCDF: file not found: b'https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSUUTT.001/1979/L93ch34.7994daygrd_temp_msu.nat.Z',https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSUUTT.001/1979/L93ch34.7994daygrd_temp_msu.nat.Z
5,MSULST,001,[Errno -90] NetCDF: file not found: b'https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSULST.001/1979/L93ch4.7994daygrd_temp_msu.nat.Z',https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSULST.001/1979/L93ch4.7994daygrd_temp_msu.nat.Z
6,MSUOP,001,[Errno -90] NetCDF: file not found: b'https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSUOP.001/1979/L93rain.79daygrd_msu.nat.Z',https://disc1.gesdisc.eosdis.nasa.gov/opendap/lim93/MSUOP.001/1979/L93rain.79daygrd_msu.nat.Z
7,MultiInstrumentFusedXCO2,3,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/CO2/MultiInstrumentFusedXCO2.3/2014/MultiInstrumentFusedXCO2_20140906_v3_1639402833.nc
8,MSAQSO2L4,2,"unable to decode time units 'years since 0000-01-01 00:00:00' with ""calendar 'gregorian'"". Try opening your dataset with decode_times=False or installing cftime if it is not installed.",https://measures.gesdisc.eosdis.nasa.gov/opendap/SO2/MSAQSO2L4.2//MSAQSO2L4_2005-2022_v02-00_20230601.nc
9,MSLERLSTL3zm,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/LER/MSLERLSTL3zm.1//MSLERLSTL3zm_v01-02-2013m0701t213456.he5
10,MSLERLSTL3d10,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/LER/MSLERLSTL3d10.1//MSLERLSTL3d10_v01-02-2013m0701t213228.he5
11,MSLERNNL3zm,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/LER/MSLERNNL3zm.1//MSLERNNL3zm_v01-02-2013m0701t214027.he5
12,MSLERNNL3d10,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/LER/MSLERNNL3d10.1//MSLERNNL3d10_v01-02-2013m0701t213752.he5
13,MSO3L3zm5,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/Ozone/MSO3L3zm5.1//MSO3L3zm5_v01-02-2013m0907t142428.h5
14,MACLWP_diurnal,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/LWP/MACLWP_diurnal.1//maclwp_cloudlwpdiurnal_01_v1.nc4
15,MACLWP_mean,1,unable to decode time units 'months since 1988-01-01 00:00:00' with 'the default calendar'. Try opening your dataset with decode_times=False or installing cftime if it is not installed.,https://measures.gesdisc.eosdis.nasa.gov/opendap/LWP/MACLWP_mean.1//maclwp_cloudlwpave_1988_v1.nc4
16,MACTWP_mean,1,unable to decode time units 'months since 1988-01-01 00:00:00' with 'the default calendar'. Try opening your dataset with decode_times=False or installing cftime if it is not installed.,https://measures.gesdisc.eosdis.nasa.gov/opendap/LWP/MACTWP_mean.1//maclwp_totallwpave_1988_v1.nc4
17,PRECIP_AMSR2_GCOMW1,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/Precipitation/PRECIP_AMSR2_GCOMW1.1/2012/184/GCOMW1_AMSR2_FCDR2021_L2_V1_20120702-S223117-E001009.000676.V01E.nc
18,PRECIP_AMSRE_AQUA,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/Precipitation/PRECIP_AMSRE_AQUA.1/2002/152/AQUA_AMSRE_FCDR2021_L2_V1_20020601-S154829-E172652.000414.V01E.nc
19,PRECIP_GMI_GPM,1,success,https://measures.gesdisc.eosdis.nasa.gov/opendap/Precipitation/PRECIP_GMI_GPM.1/2014/063/GPM_GMI_FCDR2021_L2_V1_20140304-S175932-E193159.000079.V01E.nc
