,short_name,version,message,opendap_url
0,ACOS_L2_Lite_FP,7.3,success,https://oco2.gesdisc.eosdis.nasa.gov/opendap//ACOS_L2_Lite_FP.7.3/2009/acos_LtCO2_090421_v201201_B7310A_161220013536s.nc4
1,ACOS_L2_Lite_FP,9r,success,https://oco2.gesdisc.eosdis.nasa.gov/opendap/ACOS_L2_Lite_FP.9r/2009/acos_LtCO2_090420_v205205_B9213A_200310205144s.nc4
2,ACOS_L2S,7.3,success,https://oco2.gesdisc.eosdis.nasa.gov/opendap//ACOS_L2S.7.3/2009/111/acos_L2s_090421_44_Production_v201201_L2Sub7309_r01_PolB_161215232201.h5
3,ACOS_L2S,9r,success,https://oco2.gesdisc.eosdis.nasa.gov/opendap/ACOS_L2S.9r/2009/110/acos_L2s_090420_43_B9200_PolB_190708235105.h5
4,AIRABRAD,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRABRAD.005/2002/141/AIRS.2002.05.21.201.L1B.AMSU_Rad.v5.0.0.0.G07223055238.hdf
5,AIRXBCAL,005,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRXBCAL.005/2002/243/AIRS.2002.08.31.L1B.Cal_Subset.v5.0.16.0.G07206065329.hdf
6,AIRHBRAD,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRHBRAD.005/2002/144/AIRS.2002.05.24.160.L1B.HSB_Rad.v5.0.0.0.G07279143211.hdf
7,AIRIBRAD,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRIBRAD.005/2002/242/AIRS.2002.08.30.225.L1B.AIRS_Rad.v5.0.0.0.G07143184358.hdf
8,AIRIBQAP,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRIBQAP.005/2002/242/AIRS.2002.08.30.225.L1B.AIRS_QaSub.v5.0.0.0.G07143184358.hdf
9,AIRABRAD_NRT,005,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRABRAD_NRT.005/2023/361/AIRS.2023.12.27.084.L1B.AMSU_Rad.v5.0.14.0.R23361052225.hdf
10,AIRIBRAD_NRT_BUFR,005,[Errno -90] NetCDF: file not found: b'https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRIBRAD_NRT_BUFR.005/2023/361/AIRS.2023.12.27.084.L1B.AIRS_Rad.v5.0.25.0.R23361052116.bufr',https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRIBRAD_NRT_BUFR.005/2023/361/AIRS.2023.12.27.084.L1B.AIRS_Rad.v5.0.25.0.R23361052116.bufr
11,AIRIBRAD_NRT,005,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRIBRAD_NRT.005/2023/361/AIRS.2023.12.27.084.L1B.AIRS_Rad.v5.0.25.0.R23361052116.hdf
12,AIRIBQAP_NRT,005,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRIBQAP_NRT.005/2023/361/AIRS.2023.12.27.084.L1B.AIRS_QaSub.v5.0.25.0.R23361052116.hdf
13,AIRVBRAD_NRT,005,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRVBRAD_NRT.005/2023/361/AIRS.2023.12.27.084.L1B.VIS_Rad.v5.0.14.0.R23361052057.hdf
14,AIRVBQAP_NRT,005,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRVBQAP_NRT.005/2023/361/AIRS.2023.12.27.084.L1B.VIS_QaSub.v5.0.14.0.R23361052057.hdf
15,AIRVBRAD,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRVBRAD.005/2002/242/AIRS.2002.08.30.240.L1B.VIS_Rad.v5.0.0.0.G07068155735.hdf
16,AIRVBQAP,005,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRVBQAP.005/2002/242/AIRS.2002.08.30.240.L1B.VIS_QaSub.v5.0.0.0.G07068155735.hdf
17,AIRICRAD,6.7,success,https://airsl1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level1/AIRICRAD.6.7/2002/242/AIRS.2002.08.30.225.L1C.AIRS_Rad.v6.7.2.0.G20035181328.hdf
18,AIRICRAD_NRT,6.7,success,https://discnrt1.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_NRT/AIRICRAD_NRT.6.7/2023/361/AIRS.2023.12.27.084.L1C.AIRS_Rad.v6.7.5.0.R23361053218.hdf
19,AIRI2CCF,006,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRI2CCF.006/2002/242/AIRS.2002.08.30.225.L2.CC.v6.0.7.0.G13201091521.hdf
20,AIRH2CCF,006,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRH2CCF.006/2002/242/AIRS.2002.08.30.225.L2.CC_H.v6.0.12.0.G14101125857.hdf
21,AIRS2CCF,006,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRS2CCF.006/2002/242/AIRS.2002.08.30.225.L2.CC_IR.v6.0.7.0.G13207125821.hdf
22,AIRX2STC,005,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRX2STC.005/2002/244/AIRS.2002.09.01.001.L2.CO2_Std.v5.4.11.0.CO2.T09210135303.hdf
23,AIRS2STC,005,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRS2STC.005/2010/001/AIRS.2010.01.01.001.L2.CO2_Std_IR.v5.4.11.0.CO2.T12178090647.hdf
24,AIRX2SPC,005,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRX2SPC.005/2002/244/AIRS.2002.09.01.001.L2.CO2_Sup.v5.4.11.0.CO2.T09210135303.hdf
25,AIRS2SPC,005,success,https://airsl2.gesdisc.eosdis.nasa.gov/opendap/Aqua_AIRS_Level2/AIRS2SPC.005/2010/001/AIRS.2010.01.01.001.L2.CO2_Sup_IR.v5.4.11.0.CO2.T12178090647.hdf
